text_idx,sentence_idx,verb,sentence,verb_idx,label
,,pass,"advertising costs and any expenses incurred in hiring premises are normally pass on by the estate agents to the vendor , whether or not the auction results in a sale .",11,0
,,grow,"in an old garden , there may be a fruit tree , or a good bulwark of evergreen laurel or box that , tidied up , could add a dash of venerability to the new garden that will grow around it .",38,0
,,gn,"i 've had enough of your melodrama , adam gn .",9,0
,,tighten,"after they 'd gone , forster felt the silence physically tighten around him .",10,0
,,for,"in 1983 the home secretary imposed restrictions on the release of persons for life for murders of police- and prison-officers , terrorist killings , murder during robbery , and the sadistic or sexual murder of young children , fixing a minimum of twenty years ' imprisonment for these offenders .",12,0
,,consider,"one answer sometimes given is that they are not , because a driver who overtakes on a bend , knowingly taking the risk that there is a car travelling in the opposite direction , should not be considered a murderer if a collision and death happen to ensue .",37,0
,,ens,the financial mismanagement that had ens before 1911 was ended with the employment of professional accountants .,5,0
,,come,yeah the stratford warriors come about every six weeks something like that .,4,0
,,And,"And here , there is another question that comes to mind .",0,0
,,hit,"and now he was passing a second and more dilapidated pillbox and it hit him that the whole headland had the desolate look of an old battlefield , the corpses long since carted away but the air vibrating still with the gunfire of long-lost battles , while the power station loomed over it like a grandiose modern monument to the unknown dead .",13,0
,,extend,"outside flanders , robert 's sister 's marriage to roger of sicily was a mark of his new position in the world ; like louis vi 's sister 's marriage to bohemond of antioch , it extended french kinship connections into the new norman colonies , ensuring that travellers from the homeland would find a welcome in those distant parts .",36,0
,,back,back on jennifer or are you going out with michael ?,0,0
,,or,"since it is the equation formula that needs to be satisfied , we should choose the potential as a vector ( or , not without logic , the vector potential ) , defined by the equation formula .",21,0
,,train,given time available to train new staff it is not necessary to train more than a nucleus in that particular expertise .,12,0
,,.,. .,0,0
,,have,"well we used to have , i mean , i put twelve , thirteen hundred in the sugar house .",4,0
,,mean,the name grob mitzer means anything ?,4,0
,,set,crucial to the development process is the relationship set up between the analyst and the user .,8,0
,,balance,"where there is no capital punishment , however , the question of how many degrees of homicide it is desirable to have calls for careful balancing of the principle of fair labelling ( see chapter 3.3 ( l ) ) against the cost and time arguments mobilised by the policy of efficient administration ( see chapter 3.3 ( m ) ) .",25,0
,,enable,"from this month , all new cars submitted for british type approval , the test which enables them to be legally sold in the uk , must be able to run on lead-free petrol .",16,0
,,accept,"we have accepted a bid of nearly ì´ï¿½700m for a company with a book value of ì´ï¿½200m we 've acknowledged there is some extra worth there , but i can not see the sort of value they are talking about in property .",2,0
,,come,"it may be clipped classical , random cottage , modern high-tech , or some intensely personal vision of byzantium , that no one has ever imagined before , but which exists in your head and wants to come out .",37,0
,,",","the picture was signed "" madeleine bernard "" , and alexander told frederica that gauguin had flirted seriously with that young woman , had characterised her , as was fashionable at the time , as having the desirable , unattainable androgynous perfection , complete sensuality , with unattainable self-sufficiency .",45,0
,,prompt,the sharply reduced number of 16-18-year-olds will inevitably prompt employers to bid up the wages of that age group to entice young people away from education and into unskilled or semi-skilled jobs .,8,0
,,ensure,"ninety per cent of his party 's cash comes from the unions , which will ensure a return .",15,0
,,have,"ulster , the provincial champions , may well fancy their chances on november 21 , but leinster look certain to have an uphill struggle even though the tourists have rested 13 of the team that beat wales .",20,0
,,catch,dalgliesh caught himself wondering if it had been brought back from a school trip to the capital .,1,0
,,have,"as if 24-17 and derisive chants of easy , easy were not bad enough , this humiliation was against a side who have had a wretched start to the season a week earlier pontypool had given them a 35-6 going-over and were short of at least half-a-dozen first-choice players .",23,0
,,",","penny , sounding childishly , sullenly , , broke into her mother 's thoughts .",6,0
,,slip,"charity is a divine attribute , but we are enjoined to give forgetfully lest we slip into the absurd error of mistaking ourselves for gods .",15,0
,,expose,three are prostitutes exposed to the drug by pimps .,3,0
,,youth,"neither , at first , did the incoming administration foresee the impact of youth unemployment , which was to be especially serious among the urban young .",13,0
,,happen,"he drew the conclusion from this that the riot happened like a bolt out of the blue ( guardian , 21 november 1985 ) .",9,0
,,Let,"Let there be no doubt , these young criminals are not in any way representative of the vast majority of the afro-caribbean community whose life has contributed to the life and culture of the west midlands over many years and whose hopes and aspirations are at one with those of every other law-abiding citizen .",0,0
,,think,"as for me , i tell you as a friend , i feel impotent when confronted with such nature , for my northern brains were oppressed by a nightmare in those peaceful spots as i think one ought to do better things with the foliage .",35,0
,,look,"here 's us , looking for trouble and god knows what else , and in the middle of you talking about nordhausen , i start thinking of peter .",4,0
,,saw,they must have gone a good two miles before they saw another car .,10,0
,,afford,it was surely repugnant to commonsense that in this area of legal activity a local authority should be prosecuted by one of its tenants without first being afforded the opportunity by that tenant to remedy the consequences of a neglect to repair the dwelling that the tenant occupied .,27,0
,,describe,"it was providing 27,500 training places ( often in conjunction with the manpower services commission ) : some 2,500 buildings were being improved ; estate action aimed to tackle run down housing ; and a large number of new partnerships ( which some might describe as subsidies , or discredited regional grants , in a new guise ) were in operation , in an effort to bring private investment to run-down urban areas .",44,0
,,overlook,the inter-relationship of body and dress so self-consciously referred to in many of kahlo 's most polemical works ( fig. 12 ) has been strangely overlooked by her current popularity .,25,0
,,",","but i mean they were , they were banging fifteen hundred in for that disco for the first",5,0
,,know,"got all his hair tucked up in that thing , you know otherwise , he 's not so like me , not strikingly so .",11,0
,,address,"first , it would bring britain into line with the best european practice , notably in germany where local , regional and federal labour courts address problems in a fair , dispassionate way based on law , precedent and judicial expertise in the labour field .",25,0
,,reach,it plans to issue a protective writ but is hoping to reach a settlement .,11,0
,,maximize,properties continued to shine as british land produced a complicated scheme to maximize the value of its property portfolio .,12,0
,,say,we shall say that the two kinds of particles have equal densities and move in opposite directions .,2,0
,,add,the boat 's wrap-around windscreens were made of black polarised glass which only add to dream baby 's ugly air of menace .,13,0
,,be,what exactly would that be ?,4,0
,,hinder,but their work is hindered by lack of money .,4,0
,,lead,"the document , and the legislation that derived from it , led to a positively discriminatory approach : with both central and local government supplementing existing programmes in such a way as to strengthen local economies , as well as the physical and social environment .",11,0
,,possible,it 's still possible ?,3,0
,,show,"it was within this kind of environment that chivalry flourished , that young men learned to identify , their vassalage towards their lord as a symbol of their honour , that they debated the relative merits of roland 's and oliver 's way of showing loyalty ; and that they learned the finer points of jousting .",44,0
,,have,i 've never had a saturday go so fast .,3,0
,,fail,i 've already failed the two written exams .,3,0
,,read,"the passages it cancelled had , in any case , as in certain programmes , not been lost but stored on some limbo disc from whence they must now be read .",30,0
,,apply,"by applying stokes ' theorem for the left-hand-side and recognizing that the integral of the current density gives the current , the above equation reduces to formula , where the line integration is along the curve c enclosing the surface .",1,0
,,demonstrate,"fraser dealt with this problem without difficulty and explained to law in 1913 that "" the importance of getting important speeches in advance is demonstrated in concrete manner by your wallsend speech on october 29th .",24,0
,,others,"much of his leadership was thus a form of pragmatic extremism , extreme action and the threat of more extreme action to others , but used in the cause of more limited objectives .",22,0
,,stay,"the words , in that round childish script , had stayed with him .",10,0
,,express,as mentioned earlier a routine can often be expressed as a written task description .,8,0
,,idiot,"of course not , you idiot , adam said .",5,0
,,make,"he makes no secret of his francophile enthusiasms , in reaction to the earlier domination of american music by germans , and he was one of the first writers to register the importance of jazz .",1,0
,,use,"a task description which is part of a design process should be fully documented in terms of the origins of information , the assumptions used and the methods used .",24,0
,,pay,thomson came from a generation of american composers which had to pay its own way without benefit of university patronage .,11,0
,,place,"however , this is offset by the demands that are placed on spatial analysis and modelling methodology .",10,0
,,carry,"even the daily mail , which deployed the clearest use of race and outside agitator arguments , carried a major story on broadwater farm under the headline : burnt-out hulks litter this concrete jungle despair hangs heavy ( 8 october 1985 ) .",17,0
,,give,"bristol and west claims these auctions will help to give some action to an otherwise slow market , and says it was overwhelmed by the response from people wanting to sell in this way .",9,0
,,destroy,mueller will have the power to make or destroy whole areas of europe .,8,0
,,dock,his job was to convince amaldi to pack his bags because there was a ship docking at naples to take him to the united states .,15,0
,,make,at the start of the session the tutor 's notes made clear that directing extends beyond enforcing the conditions of attendance :,10,0
,,Tell,""" Tell us a boy is born . """,1,0
,,lead,"amaldi dodged the american invitation , perhaps because ( with rome liberated ) fermi 's mantle in physics had fallen on his young shoulders and there were younger minds to lead .",30,0
,,before,to regain what they had before .,5,0
,,suppl,to be suppl,2,0
,,extend,so in practice the grievous bodily harm rule extends further than the arguments of its protagonists would support .,8,0
,,appropriate,"he certainly held deep convictions as to the absolute wrongness of the liberal policies that he opposed , but at least a part of his apparent hostility was appropriate for the occasion , a hard line that might secure a better compromise in the end .",28,0
,,elevate,"miss williams 's natural pitch , well suited to reaching across a hunting-field , was discreetly elevated .",16,0
,,tire,it 's just that i 'm tired .,6,0
,,make,"of course because there are no living trilobites we can not make direct confirmation of this hypothesis , but we can look for other arthropods that have the same modifications of the eyes , for example , in the present day oceans .",11,0
,,define,"the sequence is defined by the optimal order in which actions should be taken , for example in starting up an aircraft .",3,0
,,carefully,"wales 's instant reaction , a try by arthur emyr , and subsequent steady improvement , bringing carefully tries for emyr and robert jones , promised more than was later fulfilled .",17,0
,,tell,i suggest you tell your allies about that .,3,0
,,explore,"a major , though often ignored , work by kahlo exploring the cultural politics underlying her art .",10,0
,,of,"the very old , he thought , of our past .",7,0
,,describe,such a move towards greater political integration was described by lord scarman as essential if the gap between inner-city residents and the forces of law and order was to be bridged .,8,0
,,increase,"it is obvious that company output and projects must increase the man-power and its performance level , but , if this is acknowledged at all , it is only in brief verbal terms within , for example , the chairman 's annual report .",9,0
,,associate,"this has been proved in several places : in some arctic localities it is associated with trilobites that lived at great depths in the muds of the ordovician ocean , while in canada the same species occurs mixed with the inhabitants of the shallow-water seas , where limestones were accumulating .",14,0
,,felt,unless i felt terrible about it !,2,0
,,raise,"the objections would be raised if awareness of the risk of death was also required : in other words , if the test were the commission of a serious offence of violence plus recklessness as to death .",4,0
,,look,"beginning careers , well it is in a catalogue , the book is in a catalogue , yeah , so there 's a front cover of the book sitting in the catalogue looking at her , saying please buy this book of christopher .",32,0
,,place,"first , it distanced the riots from the social , economic , political , and other grievances which had been linked to them by placing the cause outside the social problems of inner-city dwellers and in the simple greed of the drug barons to accumulate loot .",24,0
,,have,"third , the worker was committed to the idea that treatment of a medical or disabling condition should not have precedence over the child 's social , emotional and cultural needs .",19,0
,,use,"sometimes he still used the brushstrokes , as it were , in this naked way , so that his earlier thoughts of this garden had to be undone , the idea of black wings to be stripped from the painted leafage , the vulgar idea of blood splashes washed off the notation of geraniums .",3,0
,,go,i thought oh what 's gone on .,5,0
,,.,she was on her way into town .,7,0
,,",","whereas the , the , the , you , you could you could , you could , sixteen , seventeen hundred .",16,0
,,spring,"look here , there is another question that springs to mind .",8,0
,,contribute,he had to admit that this particular client hardly contributed to the general decorative smartness of the place .,9,0
,,make,it was surprise which makes him stop for a second .,4,0
,,take,completion normally took place four to eight weeks later and there is no opportunity for second thoughts .,2,0
,,note,"indeed , as bochel ( 1976 ) has noted , the establishment of a probation service in england and wales was inextricably linked with work undertaken with offenders in trouble through drink .",8,0
,,Def,Def murder : the inclusionary question,0,0
,,where,"you know where er that circle is where there 's the shops , well instead of where i know , instead of taking one road i took another and i got completely lost !",16,0
,,overshadow,"though dr runcie and his party could not take holy communion at the papal mass , he had earlier celebrated the eucharist at the anglican church in rome after three demonstrators rose from the congregation as he ascended the pulpit ; the visit has been overshadowed by protests from supporters of the rev ian paisley .",45,0
,,and,and on .,0,0
,,do,"ashley dobbs , an engaging young entrepreneur , is setting out to do that by creating a nationwide network of telecottages .",12,0
,,discuss,an hour maybe and you are discussing contingency plans .,6,0
,,flow,"the document , and the legislation that flowed from it , pointed to a positively discriminatory approach : with both central and local government supplementing existing programmes in such a way as to strengthen local economies , as well as the physical and social environment .",7,0
,,exploit,"the importance of this debate can be explained , partly , by the political capital which the opposition could make from exploiting the social and economic malaise of the country at large with violent street disturbances .",21,0
,,find,that i found a little bit hard to believe .,2,0
,,make,the thousands of tons of steel makes real communication impossible .,6,0
,,still,"mrs bottomley , representing caring conservatism , will face mr michael portillo , the new treasury chief secretary , who is equally keen to establish his right-wing credentials by demonstrating he can still keep a tight grip on the public purse strings .",32,0
,,move,"the silence over race was breached in 1980ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½1 , but in 1985 debate about racial issues was moved a step further .",17,0
,,take,"his lordship reached that decision without enthusiasm because it seemed that as a matter of common sense , notice should be taken in such circumstances before criminal proceedings were launched .",21,0
,,happen,"mrs bottomley is convinced the tory victory provides the opportunity to entrench the reforms and to give doctors , nurses and managers the confidence to make them happen .",27,0
,,change,the paul jones and the emotional somersaults when the music changed and they came face to face for the very first time .,10,0
,,provide,such a reform would provide improvements in natural justice without loss of public protection .,4,0
,,be,let's have that cup of tea and you 'll be better .,9,0
,,finger,"he sat down and saw a bifurcated path , simmering with gold heat round and under the rising , spreading blue-black-green finger vanes of a great pine , still widening where the frame interrupted its soaring .",21,0
,,participate,"the imagery of the black bomber , used in handsworth was extended to the notion that there were groups of alienated and criminalized young blacks who saw the riots as a chance to participate in an orgy of looting .",33,0
,,see,"having seen the cat among the pigeons , made mischief in his special way , he was lying low now and waiting .",1,0
,,walk,"only once had he returned after they all left and that had been bad enough , like a dream no , like walking into the set and scenario of some frightening film , a hitchcock movie perhaps .",22,0
,,ur,the elle feature ur the kahlo style to kahlo lookalikes in contemporary clothing balanced around segments of herrera 's biography of the artist .,3,0
,,know,"i know she would , she loves anything like that !",1,0
,,slide,"he remembered a straight mass of red-gold hair , in cold king 's chapel , more golden than foxy frederica 's , slowly sliding onto a collar as the pins released their grip .",23,0
,,spl,"holden 's 64th-minute free-kick spl the wall and the ball fell to henry , who drilled a low shot from more than 30 yards inside lukic 's right-hand post .",4,0
,,catch,the selectors knew they were playing with fire when they decided to arrange a couple of club fixtures and they have duly been caught in a conflagration of their own making .,23,0
,,create,"my dress hangs there ( 1939 ) ( fig. 10 ) is one of the artist s most formally adventurous works , mixing photographic collage with paint to create a critique of north american culture .",28,0
,,of,the ddi of the subject .,2,0
,,compromise,"motoring : a lead-free lover 's guide to used cars : drivers with a tight budget and an environmental conscience can buy second-hand without compromising principles , says james ruppert",24,0
,,move,"a shadow moved across the wall opposite , as slowly , and fearfully he turned .",2,0
,,then,"paradise , launched on cbs last season and then on bbc1 this summer , was the first new western serial for a decade .",8,0
,,Get,Get your blood going .,0,0
,,roar,"they had weathered bridgend 's early fury , conceding a try before roaring back with some confidence to score three of their own .",12,0
,,reject,"in self-portrait with cropped hair ( 1944 ) ( fig. 6 ) , she paints herself wearing rivera 's suit , rejecting traditional expectations of femininity and attempting to appropriate his authority ( while simultaneously ) threatening castration ) .",21,0
,,go,"he did n't know what lewis meant about someone going after the house but no doubt he , adam , had at the time concocted some tale to keep his father quiet , to keep him away even .",9,0
,,hire,"law personally conducted the negotiations with gardner sinclair over the sale of the observer and the pall mall gazette in 1914 ; this negotiation also demonstrates that , as well as hiring information and nursing editors , the party had to work hard to keep some of the newspapers in business .",31,0
,,j,"frederica did not attempt to ascertain the j name , having given up interest in stray new people until it was clear that they were of real concern .",7,0
,,their,"not at paul hill 's remembrance of beatings past , when he could hear the sound of steel-tipped boots running to their part in the fun , and once heard a principal medical officer , no less , telling colleagues : do n't walk his face , do n't walk his face .",21,0
,,take,"although collective property auctions takes place regularly in london ( often primarily for investors rather than house-hunters ) , in country areas the more typical auction will be just for one house , and as likely as not will take place in a nearby pub or village hall .",4,0
,,get,i 'll go and get my hat and coat !,4,0
,,the,the british were involved with them through us and it was their advanced work on the cyphers that enabled the ring to establish such a great record .,15,0
,,do,"peter yeo , who had personally persuaded barton of the presentational disadvantage of using words like darkies , niggers or wogs , decided that immigrants even though used in the manner of one invoking a curse , was as good as he was going to do with this particular client .",45,0
,,come,"it was his , all of it , and it came to his head rather .",10,0
,,give,"the magnetic field may be obtained from ampï¿½ï¿½ï¿½ï¿½re 's law ( eqn ( 3.21 ) ) as follows formula , where the line integral is given over the circle of radius a ( fig. 3.2 ) , i is the total current of the beam and formula is the azimuthal component of the magnetic field in the cylindrical coordinate system specified by formula] .",25,0
,,take,"so lewis did not say , even to himself , when he was privately considering trying to take hold of his son in tenerife , that he disliked adam and would have been pleased to spoil his holiday .",17,0
,,have,they probably had hitler stashed away too .,2,0
,,slip,"penny , sounding childishly , sullenly determined , slipping into her mother 's thoughts .",8,0
,,come,somebody was coming after me cos i should n't have got out and i did .,2,0
,,see,"apart from kevin moseley 's steady supply from the line-out , there was nothing much to see in a welsh forward effort which reverted to the very worst eighties stereotype of static , cumbersome donkeys only too willing to slow the game to walking pace .",16,0
,,ret,"it 's very exciting and gets the adrenalin going , says david phillip , whose firm usually ret auctions in the otley area .",17,0
,,be,"he was a skilful lover : tender and gentle in the beginning , then powerful , persistent , rough almost until , his passion rising in harmony with hers , the climax was like the bursting of a thousand stars , like the beginning and ending of the world .",32,0
,,hold,"mrs bottomley 's first big test as health secretary will come this summer with the annual public spending round , which will be held against a background of concern over high government borrowing and pressure from the tory right for public spending cuts .",23,0
,,ask,"well at least he can have a word with him about it and ask what and he can do , and then you go to and see what they can do .",13,0
,,hug,"grizel huntley reached out to hug her but she forced back her chair and fled , clutching her handbag and napkin , leaving her mother with the ruins of lunch .",5,0
,,find,"broadly , the survey found that parents of children with special needs had not been given a real choice of placement , and that they had to fight hard for mainstream provision if this was their choice .",4,0
,,look,"i will lose my practice and my reputation and everything that i have and can looking forward to , if not my liberty .",15,0
,,edit,"the optimum size seems to be a3 , this is easily copied and edited but is large enough to contain considerable detail .",13,0
,,report,"and when the story was carefully reported to the newspapers , quite a lot of other debts were suddenly settled in full .",6,0
,,most,it would further naturalise and legitimise the most skeletal form of palestinian independence .,7,0
,,see,shall i see the doctor ?,2,0
,,get,", they 'll get down now look , you watch !",3,0
,,stimulate,"a new urban development grant was devised , to pump-prime with public funds schemes which would then stimulate private investment .",17,0
,,be,she was ill at aunty edith 's .,1,0
,,",","oh , on christopher come and sometimes it in the right panel , that 's the right panel there and then it goes in the left hand and then it goes to the right hand and then it goes to the left then right , the left , the right , left , right , left , confusing , but it 's that hand to start with",1,0
,,surprise,"jennifer sounded surprised , and he looked at her sideways with familiar love and exasperation .",2,0
,,E,"it is correct for most of the chapter with formula E as a constant but breaks down for ferromagnetic materials , which will be discussed in section 3.11 .",10,0
,,change,"john smith , the shadow chancellor , yesterday changed the overriding tone for this week 's labour party conference with a warning that he would impose tough spending controls if labour won the next election .",8,0
,,generate,this system currently runs in dbase ii and contains in excess of 3000 items of professionally generated information on major hazards coded into some 24 separate fields .,16,0
,,tell,"a friend of mine says that her body told her , without being asked , the season of the year .",8,0
,,address,henning albrechsten says : modern information technology has given people in remote regions the opportunity to address their worst handicap ; their distance from the centres of learning and development .,16,0
,,explain,"a defence of this kind , a claim that the purpose was only to frighten and not to cause harm , requires the full definition to be explained to the jury .",27,0
,,rank,"on the other hand the young riders ranked 51st in the ratings in its first week , trailing far , far behind all the modern myths about modern times such as the cosby show , roseanne , golden girls , cheers and matlock .",7,0
,,unfamiliar,"i was also half drunk , and thus unfamiliar with the dutch courage offered by mama sipcott 's worst white wine .",8,0
,,say,"as gilda held out her glass to be refilled , she said reflectively , although you seem more lonely than horny .",11,0
,,allow,it also allows for regular changes as staff retire and are replaced .,2,0
,,exist,"the currents , on the other hand , do not exist because they represent opposite charges moving in opposite directions ( remember , minus one times minus one is equal to plus one ) .",10,0
,,advance,"urban ii , launching the first crusade at clermont in 1095 , presented it as a natural evolution of the peace movement : warriors were to forget their petty feuds and squabbles in a campaign to advance the interests of holy church .",36,0
,,encourage,"he treated reading as a team effort , encouraging them to read the daily mirror rather than the dull , babyish books on offer .",8,0
,,know,"these are sensuous pleasures at their most enjoyable when we ritualise them , but how do we know when we desire them ?",17,0
,,hold,a party meeting was to be held on the following monday and the whips were making preparation for a vote to be held .,22,0
,,clut,"ruth could think of few worse fates , but her stomach clut at the thought of leaving millfield .",11,0
,,have,do n't you have headaches from,3,0
,,gain,"in gaining his place at the head of the second crusade , the rex francorum decisively hastened the transformation of the franks into the french .",1,0
,,assume,for the most part this is a reasonable assumption to assume .,10,0
,,stop,i never stopped seeing her when she was ill .,2,0
,,destroy,it is the duty of us all to ensure that an entire cultural group is not destroyed by the actions of a criminal minority .,16,0
,,go,she went from an architectural monument to a phallocentric world .,1,0
,,fire,"forster half rolled , his uzi trembling in his hand as he fired off half a clip at point blank range .",12,0
,,remove,"sometimes he still saw the brushstrokes , as it were , in this naked way , so that his earlier thoughts of this garden had to be undone , the idea of black wings to be removed from the painted leafage , the vulgar idea of blood splashes washed off the notation of geraniums .",36,0
,,on,"esso filling stations have a free booklet on most models produced since 1980 , as does the charity clear ( 01-387 4970 ) , with more detail available in the unleaded petrol guide ( autodale , ì´ï¿½2.99 ) .",7,0
,,rise,"while raymond of toulouse remained in outremer , stephen and hugh disgraced themselves in escaping from the siege of antioch , and robert curthose , no matter how gallant , at least in his lifetime failed to impress , robert ii 's prestige rose to the skies .",43,0
,,cast,his warning cast doubt on labour 's commitment to increase spending on priority programmes for the health service and pensions .,2,0
,,ask,"well at least he can have a word with him about it and ask what and he can do , and then you go to and see what they can do .",13,0
,,call,"the latest biography now calling him an outstanding statesman , warrior and man of letters .",4,0
,,him,judge from their looks you know what they 're drinking and you just like him vaguely waving his empty glass,14,0
,,deepen,rising unemployment turned a lingering and deepening malaise into a crisis .,6,0
,,see,the beginnings are to be seen in the diehard campaign against the parliament bill .,5,0
,,offer,"he offered him a hand with a large oil drum , and then another , as nell , tearing herself from her appointed task , dragged over a bench .",1,0
,,result,"probably the most accurate statement would be that a person intends to kill if it is his or her purpose to kill by the act or omission charged , or if he or she foresees that death is practically certain to result from that act or omission .",41,0
,,come,"oh it 's just coming in , obviously yeah .",4,0
,,bunch,they did n't want the yanks stumbling in and bunch up in an attempt to force the issue .,9,0
,,attempt,"there is a poignant irony in the way clothing , which on one level attempts to hide kahlo 's broken body , falls or is lifted by the model to reveal a luxuriantly perfect physique ( fig. 4 ) .",14,0
,,T,T him a while now he 's a very nice chap .,0,0
,,work,and then in the first place you 're getting enough money you can you can bash it away and that 'll work for your furniture .,21,0
